id,niveau,matieres_preferees,mathematiques,physique,chimie,informatique,francais,anglais,biologie,economie,gestion,histoire_geographie,droit,technique,competences,centres_interet,activites_projets,preferences_professionnelles,environnement_travail,parcours_recommande
256,Baccalauréat S,Histoire-Géographie;Anglais;Français;Droit;Biologie;Physique,12.52,14.68,9.59,0,13.53,12.15,14.18,0,0,14.89,18.33,12.55,Utilisation des outils informatiques;Rédaction;Communication;Techniques agricoles,Business;Communication;Droit,Rédaction d'un exposé juridique,Chercheur;Technicien,Bureau;Administration;Travail individuel,DTJA
257,Bac+1,Droit;Anglais;Français,0,0,11.37,13.18,14.71,13.94,8.17,0,0,15.41,16.15,10.99,Utilisation des outils informatiques;Communication,Droit,Rédaction d'un exposé juridique,Technicien;Manager,Travail individuel;Environnement industriel,DTJA
258,Bac+2,Histoire-Géographie;Anglais;Français;Droit,0,8.72,0,10.77,14.45,14.85,10.46,14.86,13.79,13.42,14.68,8.8,Utilisation des outils informatiques;Communication;Analyse juridique,Communication;Business;Droit,Rédaction d'un exposé juridique;Projet scolaire,Manager;Technicien,Administration;Travail individuel;Bureau,DTJA
259,Bac+2,Français;Droit;Anglais;Histoire-Géographie;Mathématiques,0,0,0,0,11.67,13.23,13.23,10.28,14.57,14.52,13.27,0,Utilisation des outils informatiques,Business;Droit,Recherche sur un problème juridique;Participation à un débat juridique,Technicien;Manager;Développeur logiciel,Bureau;Administration,DTJA
260,Bac+1,Français;Anglais;Histoire-Géographie;Droit,0,0,0,9.43,15.96,15.58,15.59,0,12.12,17.61,14.7,14.94,Communication;Analyse juridique,Communication;Business;Droit,Recherche sur un problème juridique;Rédaction d'un exposé juridique;Participation à une association,Chercheur;Manager,Bureau;Travail individuel;Administration,DTJA
261,Baccalauréat C,Droit;Français;Anglais;Histoire-Géographie,9.16,0,0,11.66,17.84,19.62,0,0,10.61,12.97,18.0,12.1,Analyse juridique;Rédaction;Communication,Droit,Participation à un débat juridique;Recherche sur un problème juridique,Chercheur;Technicien,Travail individuel;Bureau,DTJA
262,Bac+1,Droit;Français;Histoire-Géographie;Chimie;Anglais,0,11.19,10.28,9.66,17.65,13.73,0,0,9.8,15.25,16.95,0,Utilisation des outils informatiques;Communication,Communication;Business;Droit,Rédaction d'un exposé juridique;Participation à un débat juridique;Projet personnel,Chercheur;Technicien,Administration;Bureau,DTJA
263,Baccalauréat S,Droit;Anglais,13.98,0,14.01,0,13.51,16.32,0,14.12,0,15.05,17.63,0,Analyse juridique;Utilisation des outils informatiques,Droit,Recherche sur un problème juridique,Technicien;Manager,Administration,DTJA
264,Bac+3,Anglais;Droit;Français,0,0,0,0,14.21,15.83,15.4,14.99,8.03,18.41,17.01,12.64,Utilisation des outils informatiques;Rédaction;Agri-business,Droit;Business;Communication,Recherche sur un problème juridique;Rédaction d'un exposé juridique,Technicien,Bureau;Administration;Travail individuel,DTJA
265,Bac+3,Droit;Anglais;Français;Histoire-Géographie,0,11.78,0,9.06,10.53,15.53,0,9.94,11.69,17.46,18.95,0,Utilisation des outils informatiques,Droit,Participation à un débat juridique;Rédaction d'un exposé juridique,Manager,Travail individuel;Bureau;Administration,DTJA
266,Baccalauréat D,Français;Histoire-Géographie;Anglais;Droit;Technique;Informatique,0,14.78,0,0,18.0,15.15,9.94,0,10.64,16.22,17.64,0,Communication;Utilisation des outils informatiques,Business;Communication,Recherche sur un problème juridique;Participation à une association,Chercheur,Administration;Travail individuel;Bureau,DTJA
267,Baccalauréat D,Anglais;Histoire-Géographie;Droit;Français;Chimie;Physique,0,0,9.82,0,14.17,11.71,0,0,0,16.91,18.73,0,Communication;Utilisation des outils informatiques;Rédaction,Business;Droit,Recherche sur un problème juridique;Rédaction d'un exposé juridique,Technicien,Bureau;Administration,DTJA
268,Bac+2,Français;Anglais;Droit;Mathématiques,0,0,0,0,12.28,15.78,10.64,12.43,0,18.37,16.07,0,Rédaction;Technologies alimentaires,Business,Recherche sur un problème juridique,Chercheur;Technicien,Travail individuel;Administration;Environnement industriel,DTJA
269,Bac+1,Histoire-Géographie;Anglais,12.69,0,0,0,16.12,14.69,8.67,12.34,11.9,16.03,15.67,0,Rédaction;Communication;Utilisation des outils informatiques,Communication;Business,Rédaction d'un exposé juridique,Technicien;Manager,Bureau;Administration;Travail individuel,DTJA
270,Bac+3,Droit;Français;Anglais,15.79,0,8.52,10.44,17.55,16.25,14.23,0,12.01,14.31,11.97,0,Rédaction;Utilisation des outils informatiques;Analyse juridique;Gestion de projets de construction,Droit,Rédaction d'un exposé juridique,Technicien;Manager,Bureau;Administration,DTJA
271,Baccalauréat S,Anglais;Français;Histoire-Géographie;Économie,11.4,11.34,0,15.75,15.75,19.3,13.63,13.73,10.99,15.49,14.47,9.72,Utilisation des outils informatiques;Rédaction;Analyse juridique;Art culinaire,Business;Communication,Recherche sur un problème juridique;Rédaction d'un exposé juridique,Chercheur;Manager,Administration;Bureau;Travail individuel;Terrain,DTJA
272,Baccalauréat Technique,Anglais;Histoire-Géographie;Droit;Français,0,15.82,0,0,17.9,15.97,10.62,0,0,17.02,14.77,0,Communication;Rédaction;Utilisation des outils informatiques,Droit,Rédaction d'un exposé juridique,Technicien,Administration;Bureau;Travail en équipe,DTJA
273,Baccalauréat C,Droit;Français;Anglais,0,11.5,12.03,0,16.95,16.3,0,0,0,17.08,18.6,15.38,Rédaction;Analyse juridique;Utilisation des outils informatiques,Communication;Droit,Recherche sur un problème juridique,Manager;Technicien,Travail individuel;Administration;Terrain,DTJA
274,Baccalauréat Technique,Histoire-Géographie;Droit;Informatique,0,0,0,0,14.9,19.57,0,0,9.19,12.3,17.45,9.02,Analyse juridique;Rédaction,Business;Finance,Rédaction d'un exposé juridique,Chercheur,Bureau,DTJA
275,Baccalauréat S,Droit;Français;Informatique;Économie,11.51,14.17,0,15.75,15.64,13.83,15.53,0,15.96,13.44,12.83,0,Analyse juridique;Rédaction;Utilisation des outils informatiques;Valorisation du patrimoine,Communication;Droit,Recherche sur un problème juridique;Rédaction d'un exposé juridique,Chercheur;Technicien,Administration;Bureau,DTJA
276,Baccalauréat D,Anglais;Français;Droit;Histoire-Géographie,9.25,0,0,14.42,18.17,14.1,9.38,0,0,18.1,15.05,9.3,Rédaction;Utilisation des outils informatiques,Communication;Business;Agriculture,Recherche sur un problème juridique;Rédaction d'un exposé juridique;Projet scolaire,Chercheur;Manager,Travail individuel;Bureau;Administration;Terrain,DTJA
277,Bac+1,Droit;Français;Gestion,0,0,0,12.83,15.22,16.88,13.25,12.91,0,16.24,16.0,9.04,Rédaction,Droit;Communication;Business,Recherche sur un problème juridique,Technicien,Travail individuel;Administration,DTJA
278,Baccalauréat Technique,Anglais;Français;Histoire-Géographie;Droit,0,0,15.25,8.38,12.01,11.01,0,10.58,0,14.45,17.45,0,Rédaction;Utilisation des outils informatiques,Communication;Droit;Business,Rédaction d'un exposé juridique;Recherche sur un problème juridique,Technicien;Manager,Administration;Travail individuel;Bureau,DTJA
279,Baccalauréat S,Français;Anglais;Droit;Histoire-Géographie;Physique,13.7,10.78,0,0,19.99,16.65,0,0,0,13.91,15.55,0,Rédaction;Communication;Analyse juridique,Business;Droit,Rédaction d'un exposé juridique;Projet personnel,Technicien,Bureau;Travail individuel;Administration,DTJA
280,Bac+1,Droit;Histoire-Géographie;Biologie;Économie,0,15.51,10.01,0,16.02,18.0,11.28,14.58,0,19.12,14.99,0,Rédaction;Analyse juridique,Droit,Recherche sur un problème juridique;Rédaction d'un exposé juridique;Projet personnel,Chercheur,Administration;Travail individuel;Bureau,DTJA
281,Baccalauréat D,Mathématiques;Français;Économie;Biologie,17.37,0,15.04,0,18.26,0,14.7,14.35,9.35,18.15,0,12.18,Gestion de projet;Électromécanique,Finance;Communication;Business;Droit,Étude économique d'une entreprise;Organisation d'un événement,Entrepreneur;Chercheur,Bureau;Travail en équipe,EMP
282,Bac+3,Histoire-Géographie;Mathématiques;Économie;Français;Technique;Biologie,16.19,0,0,0,10.74,0,0,11.02,0,14.04,0,0,Analyse économique;Management,Finance;Business,Étude économique d'une entreprise;Gestion d'un projet scolaire,Manager,Bureau;Entreprise,EMP
283,Baccalauréat S,Histoire-Géographie;Économie;Anglais;Technique,16.96,8.38,0,0,15.15,14.17,0,13.74,14.52,18.92,12.93,0,Gestion de projet,Communication;Intelligence artificielle,Étude économique d'une entreprise;Organisation d'un événement,Manager;Entrepreneur,Entreprise;Travail en équipe,EMP
284,Baccalauréat D,Économie;Histoire-Géographie,17.58,0,0,0,15.02,0,8.72,17.53,10.11,16.69,15.37,15.65,Analyse économique;Management,Business;Communication,Gestion d'un projet scolaire;Organisation d'un événement,Manager,Travail en équipe;Bureau;Environnement international,EMP
285,Baccalauréat C,Histoire-Géographie;Économie;Technique;Informatique,16.29,0,0,0,19.24,0,0,16.01,15.2,17.06,15.66,14.88,Management;Gestion de projet;Analyse économique;Utilisation des outils informatiques,Communication;Finance;Business;Informatique,Étude économique d'une entreprise;Gestion d'un projet scolaire,Entrepreneur,Travail en équipe;Entreprise;Bureau,EMP
286,Bac+3,Histoire-Géographie;Français;Mathématiques;Économie,14.52,15.64,10.02,0,12.86,14.11,11.17,15.37,0,12.87,0,0,Management;Gestion de projet,Finance;Business;Communication,Étude économique d'une entreprise;Gestion d'un projet scolaire,Chercheur;Entrepreneur,Bureau;Travail en équipe;Entreprise,EMP
287,Baccalauréat C,Économie;Mathématiques,13.51,15.57,0,0,14.16,0,10.75,12.17,0,17.52,11.21,15.89,Analyse économique;Management;Gestion de projet,Finance;Business;Communication,Étude économique d'une entreprise,Manager,Bureau;Travail en équipe;Entreprise,EMP
288,Baccalauréat S,Français;Mathématiques;Histoire-Géographie;Économie,15.4,0,13.47,10.99,13.04,0,0,16.71,12.98,19.61,0,15.47,Analyse économique;Management,Communication;Business;Finance,Étude économique d'une entreprise,Chercheur;Entrepreneur,Travail en équipe,EMP
289,Bac+3,Français;Mathématiques;Anglais,14.95,15.86,0,0,17.35,0,0,13.49,0,16.54,0,0,Management;Prise de décision;Gestion de projet;Tourisme,Finance,Organisation d'un événement;Étude économique d'une entreprise,Manager;Entrepreneur;Professionnel du tourisme,Travail en équipe;Entreprise,EMP
290,Baccalauréat D,Mathématiques;Français;Histoire-Géographie,14.49,0,0,0,16.84,10.42,15.71,14.03,0,16.79,10.97,0,Analyse économique,Business,Étude économique d'une entreprise,Chercheur,Bureau,EMP
291,Baccalauréat Technique,Mathématiques;Économie;Histoire-Géographie;Français,16.98,11.12,15.34,9.25,16.39,15.38,0,18.32,15.52,18.03,8.08,0,Gestion de projet;Analyse économique,Finance;Business,Gestion d'un projet scolaire;Organisation d'un événement;Projet personnel,Manager,Bureau,EMP
292,Baccalauréat D,Économie;Français;Anglais;Gestion,13.0,0,14.09,15.08,11.6,0,12.15,12.37,8.3,12.7,0,11.49,Prise de décision;Gestion de projet;Procédés industriels,Communication,Gestion d'un projet scolaire,Chercheur;Commercial,Entreprise;Bureau,EMP
293,Bac+1,Mathématiques;Économie;Français;Histoire-Géographie,14.05,0,13.77,11.52,17.77,9.29,0,12.41,12.14,13.35,0,8.31,Management;Accueil,Business;Finance;Communication,Étude économique d'une entreprise,Chercheur,Travail en équipe;Entreprise,EMP
294,Bac+2,Histoire-Géographie;Français;Mathématiques,15.23,0,0,0,13.33,9.16,0,15.4,0,16.95,14.44,11.68,Management;Prise de décision;Analyse économique,Business;Finance,Organisation d'un événement;Étude économique d'une entreprise,Entrepreneur;Chercheur,Entreprise;Bureau;Travail en équipe,EMP
295,Bac+3,Économie;Français,17.76,0,0,13.15,11.92,13.22,14.66,17.45,9.74,14.02,12.14,11.54,Management;Prise de décision;Analyse économique;Technologies numériques,Communication;Business;Finance,Gestion d'un projet scolaire,Manager;Chercheur,Entreprise;Bureau,EMP
296,Bac+3,Mathématiques;Histoire-Géographie,12.39,0,13.95,0,12.14,0,15.24,14.2,10.43,15.53,0,8.95,Prise de décision;Analyse économique;Management,Communication;Business,Organisation d'un événement;Projet scolaire,Entrepreneur,Bureau;Travail en équipe,EMP
297,Bac+2,Histoire-Géographie;Français;Mathématiques,20,0,0,0,15.63,10.4,9.2,19.52,0,17.21,0,0,Gestion de projet,Business;Finance,Organisation d'un événement;Gestion d'un projet scolaire,Entrepreneur,Bureau,EMP
298,Baccalauréat D,Français;Économie;Histoire-Géographie;Droit,15.45,14.98,0,12.59,12.71,0,13.56,13.31,12.1,17.87,0,10.77,Management;Prise de décision;Analyse financière,Communication;Business,Étude économique d'une entreprise;Gestion d'un projet scolaire;Projet scolaire,Manager;Data Scientist,Bureau,EMP
299,Baccalauréat C,Mathématiques;Histoire-Géographie,15.95,0,12.66,0,18.65,13.32,0,10.96,0,16.39,0,11.46,Management;Analyse économique;Gestion de projet,Finance;Business,Étude économique d'une entreprise,Entrepreneur,Travail en équipe;Bureau;Entreprise;Administration,EMP
300,Baccalauréat Technique,Économie;Histoire-Géographie;Technique;Informatique,17.36,9.5,15.94,13.08,16.26,0,11.41,18.26,0,18.29,14.03,8.5,Analyse économique;Gestion de projet,Business;Finance;Communication,Étude économique d'une entreprise;Organisation d'un événement,Chercheur,Entreprise;Travail en équipe,EMP
301,Bac+3,Histoire-Géographie;Économie;Français;Informatique;Technique,13.72,11.72,0,0,19.45,0,0,13.35,0,12.63,10.53,0,Management;Prise de décision;Gestion de projet;Utilisation des outils informatiques,Business;Communication;Finance;Agriculture,Organisation d'un événement;Gestion d'un projet scolaire,Manager,Entreprise,EMP
302,Baccalauréat Technique,Français;Mathématiques;Histoire-Géographie;Économie,14.95,0,0,0,12.6,0,0,14.28,0,13.94,0,0,Management;Prise de décision;Gestion de projet,Communication;Business,Organisation d'un événement;Étude économique d'une entreprise,Entrepreneur,Bureau;Travail en équipe,EMP
303,Baccalauréat D,Économie;Histoire-Géographie,19.52,0,0,0,13.22,0,0,19.76,0,17.53,0,0,Prise de décision,Finance,Organisation d'un événement,Manager;Entrepreneur,Entreprise;Bureau;Travail en équipe,EMP
304,Bac+1,Économie;Histoire-Géographie;Mathématiques,11.35,12.97,0,0,17.92,15.07,14.49,15.29,0,12.05,0,0,Gestion de projet;Analyse économique;Management,Finance,Organisation d'un événement;Projet personnel,Manager;Entrepreneur,Entreprise,EMP
305,Bac+3,Histoire-Géographie;Économie;Gestion,14.83,0,9.03,0,14.65,0,10.52,16.8,0,15.66,14.69,10.26,Analyse économique;Gestion de projet;Prise de décision,Business;Finance;Communication,Gestion d'un projet scolaire;Projet scolaire,Manager,Entreprise;Bureau,EMP
306,Bac+1,Histoire-Géographie;Économie,16.04,9.24,0,0,13.21,0,9.91,16.38,14.74,11.54,9.86,14.96,Gestion de projet;Management;Prise de décision,Finance;Business;Communication,Étude économique d'une entreprise;Gestion d'un projet scolaire;Projet personnel,Manager,Bureau;Entreprise,EMP
307,Baccalauréat D,Économie;Histoire-Géographie;Mathématiques,18.84,12.45,0,9.61,15.15,10.08,10.28,12.89,0,14.9,8.33,0,Management;Analyse économique;Prise de décision,Business;Finance;Communication,Étude économique d'une entreprise,Manager;Chercheur,Bureau,EMP
308,Bac+2,Histoire-Géographie;Français;Économie,15.74,0,0,0,17.77,0,8.86,10.14,8.09,11.65,13.83,0,Analyse économique,Business;Finance;Communication;Sciences,Organisation d'un événement,Entrepreneur;Ingénieur,Bureau,EMP
309,Bac+1,Mathématiques;Économie;Histoire-Géographie;Français;Anglais;Technique,17.83,0,13.62,0,15.08,13.42,11.98,16.84,0,13.66,14.16,10.25,Management;Prise de décision;Comptabilité,Business,Étude économique d'une entreprise;Projet personnel,Chercheur;Entrepreneur,Travail en équipe;Bureau;Entreprise,EMP
310,Baccalauréat S,Histoire-Géographie;Économie;Mathématiques;Technique,14.69,0,12.64,15.87,15.27,0,0,15.89,0,11.66,15.4,0,Management;Analyse économique,Business;Finance;Communication,Gestion d'un projet scolaire,Manager;Entrepreneur,Travail en équipe;Bureau;Entreprise,EMP
311,Baccalauréat C,Économie;Français;Mathématiques;Histoire-Géographie,15.72,15.5,0,0,12.89,14.01,13.12,16.48,0,11.13,0,0,Prise de décision;Analyse des systèmes,Finance;Business;Communication,Étude économique d'une entreprise,Manager;Comptable,Bureau;Atelier,EMP
312,Baccalauréat S,Histoire-Géographie;Mathématiques;Économie,14.02,0,11.0,12.95,18.38,0,0,18.11,10.05,16.43,0,0,Gestion de projet;Prise de décision,Finance;Santé,Organisation d'un événement,Manager,Travail en équipe;Bureau;Entreprise,EMP
313,Baccalauréat D,Histoire-Géographie;Mathématiques;Gestion;Français,14.11,0,0,0,12.45,9.45,12.52,17.22,0,12.05,0,11.61,Analyse économique;Environnement,Business;Communication,Gestion d'un projet scolaire,Manager,Travail en équipe;Bureau;Entreprise;Environnement industriel,EMP
314,Baccalauréat C,Histoire-Géographie;Mathématiques;Économie,16.21,9.06,0,0,12.37,0,13.67,17.04,0,12.66,13.62,8.7,Gestion de projet;Management;Prise de décision,Business;Droit,Étude économique d'une entreprise;Projet scolaire,Chercheur;Entrepreneur,Bureau;Travail en équipe,EMP
315,Baccalauréat C,Mathématiques;Histoire-Géographie;Français;Économie;Droit;Physique,14.53,12.2,12.24,14.49,13.01,0,13.31,13.83,12.42,17.63,13.34,0,Analyse économique,Communication;Tourisme,Étude économique d'une entreprise;Organisation d'un événement,Entrepreneur;Manager,Entreprise,EMP
316,Baccalauréat S,Français;Économie,15.06,0,0,0,17.28,12.79,14.18,12.74,8.68,16.0,0,11.15,Gestion de projet;Management,Finance;Communication;Business,Étude économique d'une entreprise;Gestion d'un projet scolaire,Chercheur,Travail en équipe;Bureau,EMP
317,Baccalauréat D,Français;Histoire-Géographie;Mathématiques;Anglais,14.96,14.61,0,10.11,15.51,0,0,14.3,13.5,14.61,14.38,0,Analyse économique,Communication;Business;Intelligence artificielle,Étude économique d'une entreprise,Manager;Entrepreneur,Travail en équipe;Entreprise,EMP
